participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
12,matta,0,7,,0,,0,2004-03-07,2004-07-25,0,3,0,1,5,3.0
12,ralf_schumacher,0,7,,0,,1,2004-03-07,2004-10-24,1,7,0,6,5,24.0
14,pantano,0,6,,0,,0,2004-03-07,2004-09-12,0,0,0,0,8,0.0
17,panis,0,13,,0,,0,2004-03-07,2004-10-10,0,4,0,3,4,6.0
17,trulli,0,14,2004-05-23,0,2004-05-23,2,2004-03-07,2004-10-24,2,11,1,9,3,46.0
18,michael_schumacher,10,17,2004-03-07,0,2004-10-10,15,2004-03-07,2004-10-24,8,16,13,16,1,148.0
18,baumgartner,0,11,,0,,0,2004-03-07,2004-10-24,0,3,0,1,7,1.0
18,bruni,0,9,,0,,0,2004-03-07,2004-10-24,0,0,0,0,9,0.0
18,button,0,15,,0,,10,2004-03-07,2004-10-24,1,15,0,15,3,85.0
18,coulthard,0,14,,0,,0,2004-03-07,2004-10-24,0,12,0,9,4,24.0
18,fisichella,0,17,,0,,0,2004-03-07,2004-10-24,0,14,0,9,1,22.0
18,heidfeld,0,11,,0,,0,2004-03-07,2004-10-24,0,3,0,2,7,3.0
18,klien,0,14,,0,,0,2004-03-07,2004-10-24,0,4,0,1,4,3.0
18,massa,0,14,,0,,0,2004-03-07,2004-10-24,0,10,0,5,4,12.0
18,alonso,0,13,,0,,4,2004-03-07,2004-10-24,1,13,0,12,5,59.0
18,raikkonen,2,10,2004-08-29,0,2004-08-29,4,2004-03-07,2004-10-24,1,9,1,9,8,45.0
18,montoya,2,14,2004-10-24,0,2004-10-24,3,2004-03-07,2004-10-24,0,13,1,13,4,58.0
18,barrichello,4,17,2004-09-12,0,2004-09-26,14,2004-03-07,2004-10-24,4,16,2,16,1,114.0
18,sato,0,13,,0,,1,2004-03-07,2004-10-24,0,10,0,9,5,34.0
18,webber,0,10,,0,,0,2004-03-07,2004-10-24,0,8,0,4,8,7.0
2,gene,0,2,,0,,0,2004-07-04,2004-07-11,0,1,0,0,0,0.0
3,villeneuve,0,3,,0,,0,2004-09-26,2004-10-24,0,2,0,0,0,0.0
4,glock,0,4,,0,,0,2004-06-13,2004-10-24,0,1,0,1,0,2.0
4,pizzonia,0,3,,0,,0,2004-07-25,2004-09-12,0,3,0,3,1,6.0
5,zonta,0,3,,0,,0,2004-08-15,2004-10-24,0,1,0,0,2,0.0